,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,吴胤希,2018-05-31,无,"吴胤希先生:理学硕士。曾任职于远东国际租赁有限公司,担任投资分析员;于ExcelMarkets担任外汇交易员;于重庆农村商业银行股份有限公司,担任债券交易员。2016年7月加入中信保诚基金管理有限公司。现任中信保诚嘉鑫3个月定期开放债券型发起式证券投资基金、信诚理财28日盈债券型证券投资基金、中信保诚稳达债券型证券投资基金、中信保诚景丰债券型证券投资基金、信诚年年有余定期开放债券型证券投资基金、信诚优质纯债债券型证券投资基金、中信保诚嘉裕五年定期开放债券型证券投资基金基金经理。2020年3月13日担任中信保诚嘉丰一年定期开放债券型发起式证券投资基金基金经理。2020年5月28日起担任中信保诚中债1-3年国开行债券指数证券投资基金基金经理。2020年7月3日担任中信保诚景裕中短债债券型证券投资基金基金经理。",中信保诚景裕中短债A,009191,债券型,2020-07-03,至今,100天,0.45%,0.52%,781|2408
1,,,,,中信保诚景裕中短债C,009192,债券型,2020-07-03,至今,100天,0.42%,0.52%,822|2408
2,,,,,中信保诚中债1-3年国开行A,008454,债券指数,2020-05-28,至今,136天,0.28%,1.07%,810|2275
3,,,,,中信保诚中债1-3年国开行C,008455,债券指数,2020-05-28,至今,136天,0.24%,1.07%,827|2275
4,,,,,中信保诚嘉丰一年定开债发起式,009081,定开债券,2020-03-13,至今,212天,0.07%,0.72%,576|802
5,,,,,中信保诚嘉裕五年定开债,008429,定开债券,2019-12-24,至今,292天,2.14%,2.38%,174|316
6,,,,,信诚年年有余定开债A,000360,定开债券,2019-11-21,至今,325天,3.91%,3.12%,48|297
7,,,,,信诚年年有余定开债B,000361,定开债券,2019-11-21,至今,325天,3.50%,3.12%,73|297
8,,,,,信诚优质纯债债券A,550018,债券型,2019-11-21,至今,325天,5.31%,4.57%,440|1926
9,,,,,信诚优质纯债债券B,550019,债券型,2019-11-21,至今,325天,4.81%,4.57%,477|1926
10,,,,,中信保诚景丰债券A,006789,债券型,2019-01-15,至今,1年又270天,6.45%,10.25%,690|1442
11,,,,,中信保诚景丰债券C,006790,债券型,2019-01-15,至今,1年又270天,6.39%,10.25%,699|1442
12,,,,,中信保诚稳达A,006177,债券型,2018-08-31,至今,2年又42天,9.07%,12.71%,703|1305
13,,,,,中信保诚稳达C,006178,债券型,2018-08-31,至今,2年又42天,5.46%,12.71%,1214|1305
14,,,,,中信保诚嘉鸿债券A,000134,债券型,2018-05-31,至今,2年又134天,-9.61%,1.15%,2396|2397
15,,,,,中信保诚嘉鸿债券C,000135,债券型,2018-05-31,至今,2年又134天,-10.36%,1.15%,2397|2397
16,,,,,中信嘉鑫3个月定开债,005617,定开债券,2018-01-30,至今,2年又255天,12.86%,13.80%,78|145
17,,,,,信诚智惠金货币,005020,货币型,2017-08-14,2019-01-10,1年又149天,4.78%,5.26%,533|604
18,,,,,信诚薪金宝货币,000599,货币型,2016-10-14,2018-05-31,1年又229天,6.22%,6.16%,220|459
19,邢恭海,2020-08-20,无,"邢恭海先生:中国,本科、学士。曾担任申万菱信基金管理有限公司交易员、农银汇理基金管理有限公司高级交易员、中信信诚资产管理有限公司高级交易员。2017年3月加入中信保诚基金管理有限公司,历任高级交易员、投资经理、研究员。2020年8月20日起担任中信保诚稳达债券型证券投资基金基金经理。2020年8月20日起担任中信保诚嘉鸿债券型证券投资基金基金经理。",中信保诚嘉鸿债券A,000134,债券型,2020-08-20,至今,52天,0.16%,-0.07%,728|2449
20,,,,,中信保诚嘉鸿债券C,000135,债券型,2020-08-20,至今,52天,0.00%,-0.07%,1392|2449
21,,,,,中信保诚稳达A,006177,债券型,2020-08-20,至今,52天,-0.25%,-0.07%,1938|2449
22,,,,,中信保诚稳达C,006178,债券型,2020-08-20,至今,52天,-0.25%,-0.07%,1938|2449
