,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,邱世磊,2018-03-28,无,"邱世磊先生:中国人民大学管理学本科、硕士,曾就职于海通证券债券部担任高级经理,在渤海证券资管部担任高级研究员,在东兴证券资管部担任高级投资经理。2015年4月加入民生加银基金管理有限公司,曾担任固定收益部基金经理助理,现担任基金经理职务。自2016年1月29日至2020年7月27日担任民生加银新战略灵活配置混合型证券投资基金经理;自2016年8月至今担任民生加银鑫福灵活配置混合型证券投资基金基金经理;自2016年12月至今担任民生加银鑫喜灵活配置混合型证券投资基金基金经理;自2018年3月至今担任民生加银鹏程混合型证券投资基金、民生加银转债优选债券型证券投资基金基金经理;自2018年9月12日至2020年7月27日担任民生加银汇鑫一年定期开放债券型证券投资基金基金经理;自2019年8月至今担任民生加银增强收益债券型证券投资基金基金经理;自2019年11月至今担任民生加银信用双利债券型证券投资基金基金经理;自2016年1月至2016年6月担任民生加银新动力灵活配置定期开放混合型证券投资基金基金经理;自2016年6月至2017年4月担任民生加银新动力灵活配置混合型证券投资基金(由民生加银新动力灵活配置定期开放混合型证券投资基金转型而来)基金经理;自2018年9月至2019年11月担任民生加银和鑫定期开放债券型发起式证券投资基金基金经理,自2020年5月14日至今担任民生加银聚利6个月持有期混合型证券投资基金基金经理。",民生加银聚利6个月混合A,009260,混合型,2020-05-14,至今,150天,7.78%,21.50%,2762|3341
1,,,,,民生加银聚利6个月混合C,009261,混合型,2020-05-14,至今,150天,7.63%,21.50%,2780|3341
2,,,,,民生加银信用双利债券A,690006,债券型,2019-11-05,至今,341天,8.80%,4.84%,250|1900
3,,,,,民生加银信用双利债券C,690206,债券型,2019-11-05,至今,341天,8.42%,4.84%,272|1900
4,,,,,民生增强收益债券A,690002,债券型,2019-08-12,至今,1年又61天,11.57%,6.00%,219|1774
5,,,,,民生增强收益债券C,690202,债券型,2019-08-12,至今,1年又61天,11.13%,6.00%,236|1774
6,,,,,民生加银鹏程混合C,007749,混合型,2019-07-29,至今,1年又75天,17.62%,46.06%,2349|2947
7,,,,,民生加银鑫福混合C,007072,混合型,2019-03-04,至今,1年又222天,13.50%,51.19%,2509|2777
8,,,,,民生加银和鑫定开债,002452,定开债券,2018-09-10,2019-11-05,1年又56天,15.00%,5.89%,2|510
9,,,,,民生加银汇鑫一年定开债A,004254,定开债券,2018-09-10,2020-07-27,1年又321天,12.15%,9.34%,36|254
10,,,,,民生加银汇鑫一年定开债C,004255,定开债券,2018-09-10,2020-07-27,1年又321天,11.52%,9.34%,49|254
11,,,,,民生加银汇鑫一年定开债D,004256,定开债券,2018-09-10,2020-07-27,1年又321天,,,-|-
12,,,,,民生加银转债优选A,000067,债券型,2018-03-28,至今,2年又198天,31.13%,14.18%,52|1168
13,,,,,民生加银转债优选C,000068,债券型,2018-03-28,至今,2年又198天,29.89%,14.18%,57|1168
14,,,,,民生加银鹏程混合A,004710,混合型,2018-03-07,至今,2年又219天,31.70%,45.04%,1430|2521
15,,,,,民生加银鑫喜混合,002455,混合型,2016-12-09,至今,3年又307天,45.17%,61.77%,1021|1837
16,,,,,民生加银鑫福混合A,002518,混合型,2016-08-22,至今,4年又51天,25.00%,64.28%,1304|1554
17,,,,,民生加银新动力混合A,001273,混合型,2016-01-29,2017-04-14,1年又76天,10.77%,12.96%,663|1421
18,,,,,民生加银新动力混合D,001274,混合型,2016-01-29,2017-04-14,1年又76天,0.00%,12.96%,1311|1421
19,,,,,民生加银新战略混合,001352,混合型,2016-01-29,2020-07-27,4年又181天,64.45%,77.98%,699|1319
