,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,邹维娜,2013-08-07,无,"邹维娜女士:经济学硕士。曾在国家信息中心中经网数据有限公司从事宏观经济分析相关工作,在中再资产管理股份有限公司任投资经理助理、自有账户投资经理。2012年10月加盟银华基金管理有限公司,现任投资管理三部副总监兼基金经理。自2013年8月7日起任“银华信用四季红债券型证券投资基金”基金经理;自2013年9月18日起任“银华信用季季红债券型证券投资基金”基金经理;自2014年1月22日起任”银华永利债券型证券投资基金”基金经理;自2014年5月22日起任“银华永益分级债券型证券投资基金”基金经理;自2014年10月8日起任“银华纯债信用主题债券型证券投资基金(LOF)”基金经理;自2016年3月22日起任“银华添益定期开放债券型证券投资基金”基金经理;自2016年11月11日起任“银华添泽定期开放债券型证券投资基金”基金经理。;自2017年3月7日兼任“银华添润定期开放债券型证券投资基金”基金经理;自2018年7月25日兼任“银华岁盈定期开放债券型证券投资基金”基金经理。2020年3月20日担任银华汇盈一年持有期混合型证券投资基金的基金经理。",银华汇盈一年持有期混合A,008833,混合型,2020-03-20,至今,205天,2.68%,31.12%,3318|3428
1,,,,,银华汇盈一年持有期混合C,008834,混合型,2020-03-20,至今,205天,2.45%,31.12%,3324|3428
2,,,,,银华信用四季红债券C,006837,债券型,2019-01-04,至今,1年又281天,5.27%,10.57%,1058|1503
3,,,,,银华岁盈定期开放债券,005500,定开债券,2018-07-25,至今,2年又79天,9.40%,10.16%,104|182
4,,,,,银华汇利灵活配置混合A,001289,混合型,2018-07-11,2018-11-15,127天,2.70%,-5.05%,101|2677
5,,,,,银华汇利灵活配置混合C,002322,混合型,2018-07-11,2018-11-15,127天,2.56%,-5.05%,108|2677
6,,,,,银华添润定期开放债券,004087,定开债券,2017-03-07,至今,3年又219天,16.56%,17.01%,56|116
7,,,,,银华添泽定开债,003497,定开债券,2016-11-11,至今,3年又335天,15.62%,14.67%,94|236
8,,,,,银华添益定开债,002491,定开债券,2016-03-22,至今,4年又204天,16.68%,18.50%,47|74
9,,,,,银华纯债信用债券(LOF),161820,债券型,2014-10-08,至今,6年又5天,36.21%,43.56%,270|468
10,,,,,银华永益分级债券,161827,债券型,2014-05-22,2017-06-01,3年又11天,51.58%,28.38%,38|489
11,,,,,银华永益分级债券A,161828,固定收益,2014-05-22,2017-06-01,3年又11天,11.81%,23.20%,17|19
12,,,,,银华永利债券A,000287,债券型,2014-01-22,2018-06-28,4年又158天,27.91%,36.51%,317|443
13,,,,,银华永利债券C,000288,债券型,2014-01-22,2018-06-28,4年又158天,25.98%,36.51%,340|443
14,,,,,银华纯债信用债券(LOF),161820,债券型,2013-10-17,2014-02-07,113天,-4.05%,-2.95%,307|435
15,,,,,银华信用季季红债券A,000286,债券型,2013-09-18,至今,7年又25天,47.69%,54.60%,220|406
16,,,,,银华信用四季红债券A,000194,债券型,2013-08-07,至今,7年又67天,55.64%,56.07%,152|375
