,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,郑中华,2019-11-25,无,"郑中华先生:中国,中央财经大学金融学博士。历任美国友邦保险有限公司北京分公司业务主任、兴业银行总行投资银行部研究处宏观及策略研究员,2017年5月加入英大基金管理有限公司权益投资部,2019年11月25日任英大领先回报混合型发起式证券投资基金基金经理。曾任英大策略优选混合型证券投资基金(A类:001607、C类:001608)、英大睿鑫灵活配置混合型证券投资基金(A类:003446、C类:003447)、英大睿盛灵活配置混合型证券投资基金(A类:003713,C类:003714)、英大国企改革主题股票型证券投资基金(001678)基金经理助理。",英大策略优选A,001607,混合型,2020-05-29,2020-09-30,124天,37.55%,18.41%,129|3617
1,,,,,英大策略优选C,001608,混合型,2020-05-29,2020-09-30,124天,37.37%,18.41%,133|3617
2,,,,,英大国企改革主题股票,001678,股票型,2020-05-29,2020-09-30,124天,32.18%,21.21%,138|1564
3,,,,,英大睿鑫A,003446,混合型,2020-05-29,2020-09-30,124天,22.67%,18.41%,1371|3617
4,,,,,英大睿鑫C,003447,混合型,2020-05-29,2020-09-30,124天,22.59%,18.41%,1386|3617
5,,,,,英大睿盛A,003713,混合型,2020-05-29,2020-09-30,124天,52.28%,18.41%,10|3617
6,,,,,英大睿盛C,003714,混合型,2020-05-29,2020-09-30,124天,52.24%,18.41%,11|3617
7,,,,,英大领先回报混合发起式,000458,混合型,2019-11-25,至今,321天,35.53%,37.95%,1586|3076
8,,,,,英大灵活配置混合型发起式A,001270,混合型,2019-03-14,至今,1年又212天,56.14%,52.55%,1176|2780
9,,,,,英大灵活配置混合型发起式B,001271,混合型,2019-03-14,至今,1年又212天,54.71%,52.55%,1211|2780
