,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,郑可成,2013-05-14,无,"郑可成先生:硕士研究生。2001年7月至2004年12月在闽发证券有限责任公司担任研究员,从事债券研究及投资,2005年1月至2005年9月在福建儒林投资顾问有限公司任研究员,2005年10月至2009年7月在益民基金管理有限公司任基金经理,2009年8月至今任职于华安基金管理有限公司固定收益部。2010年12月起担任华安稳固收益债券型证券投资基金的基金经理。2012年9月起同时担任华安安心收益债券型证券投资基金的基金经理。2012年11月起同时担任华安日日鑫货币市场基金的基金经理。2012年12月起同时担任华安信用增强债券型证券投资基金的基金经理。2013年5月起同时担任华安保本混合型证券投资基金的基金经理。2014年8月至2019年12月10日担任华安年年红定期开放债券型证券投资基金的基金经理。2015年3月起担任华安新动力灵活配置混合型证券投资基金的基金经理。2015年5月至2019年12月10日担任华安新机遇灵活配置混合型证券投资基金的基金经理、2015年5月至2019年12月10日担任华安新优选灵活配置混合型证券投资基金的基金经理。2015年6月至2019年12月10日担任华安添颐养老混合型发起式证券投资基金的基金经理。2015年11月起担任华安安益保本混合型证券投资基金的基金经理。2015年12月起担任华安乐惠保本混合型证券投资基金的基金经理。2016年2月起担任华安安康保本混合型证券投资基金的基金经理。2016年4月至2017年7月,同时担任华安安禧保本混合型证券投资基金的基金经理。2016年10月至2018年1月,同时担任华安安润灵活配置混合型证券投资基金的基金经理。2017年2月起,同时担任华安安享灵活配置混合型证券投资基金的基金经理。2017年3月起,同时担任华安现金宝货币市场基金的基金经理。",华安现金润利,007746,货币型,2019-09-10,至今,1年又32天,2.05%,2.41%,10|10
1,,,,,华安添鑫中短债C,007020,债券型,2019-02-25,2019-04-02,36天,0.02%,0.89%,1272|1572
2,,,,,华安现金宝货币A,000873,货币型,2017-03-10,2019-08-30,2年又173天,8.71%,8.71%,289|547
3,,,,,华安现金宝货币B,000874,货币型,2017-03-10,2019-08-30,2年又173天,9.36%,8.71%,92|547
4,,,,,华安安享混合,000708,混合型,2017-02-08,至今,3年又246天,18.82%,64.71%,1671|1839
5,,,,,华安安润灵活配置混合A,002153,混合型,2016-10-31,2018-01-27,1年又88天,4.00%,12.02%,1293|1786
6,,,,,华安安润灵活配置混合C,002154,混合型,2016-10-31,2018-01-27,1年又88天,3.90%,12.02%,1302|1786
7,,,,,华安日日鑫货币H,511600,货币型,2016-08-30,2017-07-24,328天,2.84%,2.79%,233|454
8,,,,,华安安福保本混合A,002953,保本型,2016-07-19,至今,4年又85天,,0.01%,-|-
9,,,,,华安安福保本混合C,002954,保本型,2016-07-19,至今,4年又85天,,0.01%,-|-
10,,,,,华安安禧混合A,002398,混合型,2016-04-13,2017-07-03,1年又81天,3.00%,5.18%,898|1473
11,,,,,华安安禧混合C,002399,混合型,2016-04-13,2017-07-03,1年又81天,2.50%,5.18%,943|1473
12,,,,,华安稳固收益债券A,002534,债券型,2016-03-22,至今,4年又204天,68.77%,17.69%,3|587
13,,,,,华安安康灵活配置混合A,002363,混合型,2016-02-01,2017-07-31,1年又181天,2.30%,16.13%,1208|1373
