,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,欧阳凯,2019-10-21,无,"欧阳凯先生:中国国籍,硕士。曾任中海基金管理有限公司基金经理;2010年加入工银瑞信,现任固定收益投资总监、投资决策委员会成员。2010年8月16日起,担任工银双利债券型基金基金经理,2011年12月27日起担任工银保本混合基金基金经理,2013年2月7日起担任工银瑞信保本2号混合型发起式基金基金经理(自2016年2月19日起变更为工银瑞信优质精选混合型证券投资基金),2013年6月26日起担任工银瑞信保本3号混合型基金基金经理,2013年7月4日起担任工银信用纯债两年定期开放基金基金经理,2014年9月19日起担任工银瑞信新财富灵活配置混合型基金基金经理,2015年5月26日起担任工银丰盈回报灵活配置混合型基金基金经理。",工银产业债债券A,000045,债券型,2019-10-21,至今,356天,7.46%,5.03%,349|1873
1,,,,,工银产业债债券B,000046,债券型,2019-10-21,至今,356天,7.11%,5.03%,364|1873
2,,,,,工银瑞信添慧债券A,006738,债券型,2019-10-21,至今,356天,7.99%,5.03%,319|1873
3,,,,,工银瑞信添慧债券C,006739,债券型,2019-10-21,至今,356天,7.55%,5.03%,346|1873
4,,,,,工银四季收益债券(LOF),164808,债券型,2019-10-21,至今,356天,3.77%,5.03%,653|1873
5,,,,,工银瑞信灵活配置混合B,001428,混合型,2015-06-04,2017-04-21,1年又322天,3.77%,-22.06%,174|951
6,,,,,工银丰盈回报灵活配置混合,001320,混合型,2015-05-26,2018-06-05,3年又11天,11.60%,-11.89%,205|979
7,,,,,工银新财富灵活配置混合,000763,混合型,2014-09-19,至今,6年又24天,158.60%,150.93%,301|730
8,,,,,工银信用纯债两年定开债A,000078,定开债券,2013-07-04,2018-02-23,4年又235天,19.54%,28.56%,42|46
9,,,,,工银信用纯债两年定开债C,000079,定开债券,2013-07-04,2018-02-23,4年又235天,17.45%,28.56%,45|46
10,,,,,工银成长收益混合A,000195,混合型,2013-06-26,2018-02-27,4年又247天,39.31%,89.15%,468|571
11,,,,,工银成长收益混合B,000196,混合型,2013-06-26,2018-02-27,4年又247天,35.16%,89.15%,483|571
12,,,,,工银优质精选混合,487021,混合型,2013-02-07,2017-02-06,4年又0天,39.90%,64.76%,376|545
13,,,,,工银瑞信灵活配置混合A,487016,混合型,2011-12-27,2017-04-21,5年又117天,33.36%,91.18%,399|456
14,,,,,工银瑞信双利债券B,485011,债券型,2010-08-16,至今,10年又59天,102.17%,72.66%,16|121
15,,,,,工银瑞信双利债券A,485111,债券型,2010-08-16,至今,10年又59天,110.51%,72.66%,13|121
16,,,,,中海稳健收益债券,395001,债券型,2008-09-18,2010-03-03,1年又166天,16.07%,12.84%,15|59
17,郭雪松,2019-10-21,无,"郭雪松先生:中国,硕士研究生。先后在国家统计局担任副主任科员,在安信证券担任高级宏观分析师。2018年加入工银瑞信,任固定收益部高级研究员、资产配置研究组负责人、基金经理。2020年6月11日起担任工银瑞信银和利混合型证券投资基金基金经理。",工银银和利混合,001722,混合型,2020-06-11,至今,122天,9.63%,17.80%,2534|3435
18,,,,,工银产业债债券A,000045,债券型,2019-10-21,至今,356天,7.46%,5.03%,349|1873
19,,,,,工银产业债债券B,000046,债券型,2019-10-21,至今,356天,7.11%,5.03%,364|1873
20,,,,,工银瑞信添慧债券A,006738,债券型,2019-10-21,至今,356天,7.99%,5.03%,319|1873
21,,,,,工银瑞信添慧债券C,006739,债券型,2019-10-21,至今,356天,7.55%,5.03%,346|1873
22,,,,,工银四季收益债券(LOF),164808,债券型,2019-10-21,至今,356天,3.77%,5.03%,653|1873
23,,,,,工银丰收回报灵活配置混合A,001650,混合型,2019-09-16,至今,1年又26天,24.71%,38.48%,1923|3006
24,,,,,工银丰收回报灵活配置混合C,002233,混合型,2019-09-16,至今,1年又26天,24.20%,38.48%,1939|3006
