,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,闫晗,2018-04-20,无,"闫晗先生:中国国籍,硕士。2012年10月至今历任建信基金管理公司交易员、交易主管、基金经理助理、基金经理。2017年11月3日起任建信目标收益一年期债券型证券投资基金的基金经理,该基金在2018年9月19日转型为建信睿怡纯债债券型证券投资基金,闫晗继续担任该基金的基金经理;2018年4月20日起任建信安心回报定期开放债券型基金的基金经理;2018年4月20日起任建信安心回报两年定期开放债券型证券投资基金的基金经理,该基金自2019年4月25日转型为建信安心回报6个月定期开放债券型证券投资基金,闫晗继续担任该基金的基金经理;2019年3月25日起任建信中债1-3年国开行债券指数证券投资基金的基金经理;2019年4月30日起任建信中债3-5年国开行债券指数证券投资基金的基金经理;2019年9月17日起任建信中债5-10年国开行债券指数证券投资基金的基金经理;2020年3月17日起任建信睿和纯债定期开放债券型发起式证券投资基金的基金经理;2020年5月7日起任建信荣元一年定期开放债券型发起式证券投资基金的基金经理;2020年6月15日起任建信中债湖北省地方政府债指数发起式证券投资基金的基金经理。",建信中债1-3年农发行债券指数A,009554,债券指数,2020-09-28,至今,13天,0.09%,0.34%,980|2510
1,,,,,建信中债1-3年农发行债券指数C,009555,债券指数,2020-09-28,至今,13天,0.09%,0.34%,980|2510
2,,,,,建信湖北省地方政府债指数,009528,债券指数,2020-06-15,至今,118天,0.71%,1.23%,713|2302
3,,,,,建信荣元一年定开债,530029,定开债券,2020-05-07,至今,157天,-1.42%,-0.91%,243|368
4,,,,,建信睿和纯债定开债,005375,定开债券,2020-03-17,至今,208天,1.04%,0.60%,79|349
5,,,,,建信中债5-10国开指数A,007080,债券指数,2019-09-17,至今,1年又25天,3.55%,5.17%,755|1835
6,,,,,建信中债5-10国开指数C,007081,债券指数,2019-09-17,至今,1年又25天,3.44%,5.17%,786|1835
7,,,,,建信中债国开行债A,007094,债券指数,2019-04-30,至今,1年又165天,5.88%,7.69%,699|1682
8,,,,,建信中债国开行债C,007095,债券指数,2019-04-30,至今,1年又165天,5.74%,7.69%,729|1682
9,,,,,建信中债1-3年国开债A,007026,债券指数,2019-03-25,至今,1年又201天,4.76%,7.56%,955|1574
10,,,,,建信中债1-3年国开债C,007027,债券指数,2019-03-25,至今,1年又201天,4.70%,7.56%,972|1574
11,,,,,建信安心回报债券A,000105,定开债券,2018-04-20,至今,2年又175天,12.13%,11.67%,173|436
12,,,,,建信安心回报债券C,000106,定开债券,2018-04-20,至今,2年又175天,11.13%,11.67%,237|436
13,,,,,建信安心回报6个月定开A,000346,定开债券,2018-04-20,至今,2年又175天,14.04%,11.67%,95|436
14,,,,,建信安心回报6个月定开C,000347,定开债券,2018-04-20,至今,2年又175天,10.21%,11.67%,281|436
15,,,,,建信睿怡纯债,002377,债券型,2017-11-03,至今,2年又343天,11.22%,14.86%,846|1146
