,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,闫沛贤,2013-10-21,无,"闫沛贤先生:英国帝国理工大学金融学硕士、伯明翰大学计算机硕士学位。2008年至2013年曾任职于平安银行资金交易部、北京银行资金交易部,担任债券交易员。2013年加入中加基金管理有限公司,曾任中加丰泽纯债债券型证券投资基金基金经理(2016年12月19日至2018年6月22日),现任投资研究部副总监兼固定收益部总监、中加货币市场基金(2013年10月21日至今)、中加纯债一年定期开放债券型证券投资基金(2014年3月24日至今)、中加纯债债券型证券投资基金(2014年12月17日至今)、中加心享灵活配置混合型证券投资基金(2015年12月28日至今)、中加颐合纯债债券型证券投资基金(2018年9月13日至今)、中加颐鑫纯债债券型证券投资基金(2018年11月8日至今)、中加聚利纯债定期开放债券型证券投资基金(2018年11月27日至今)、中加颐兴定期开放债券型发起式证券投资基金(2018年12月13日-2019年12月30日)、中加聚盈四个月定期开放债券型证券投资基金(2019年5月29日至今)的基金经理、2019年11月29日任中加科盈混合型证券投资基金的基金经理。",中加科盈混合A,008033,混合型,2019-11-29,至今,317天,12.69%,38.17%,2703|3218
1,,,,,中加科盈混合C,008034,混合型,2019-11-29,至今,317天,12.03%,38.17%,2749|3218
2,,,,,中加聚盈四个月定开债A,007061,定开债券,2019-05-29,至今,1年又136天,9.43%,5.28%,9|240
3,,,,,中加聚盈四个月定开债C,007062,定开债券,2019-05-29,至今,1年又136天,8.84%,5.28%,12|240
4,,,,,中加颐兴定开债券,005879,定开债券,2018-12-13,2019-12-30,1年又17天,5.31%,4.80%,60|194
5,,,,,中加聚利纯债定开A,006588,定开债券,2018-11-27,至今,1年又319天,11.03%,7.81%,27|219
6,,,,,中加聚利纯债定开C,006589,定开债券,2018-11-27,至今,1年又319天,10.31%,7.81%,35|219
7,,,,,中加颐鑫纯债债券,006304,债券型,2018-11-08,至今,1年又338天,5.79%,11.96%,1123|1338
8,,,,,中加颐合纯债债券,006180,债券型,2018-09-13,至今,2年又29天,7.23%,13.02%,998|1274
9,,,,,中加丰泽纯债债券,003417,债券型,2016-12-16,2018-06-22,1年又188天,6.80%,3.20%,95|985
10,,,,,中加心享混合C,002533,混合型,2016-03-29,至今,4年又197天,47.64%,73.67%,847|1348
11,,,,,中加心享混合A,002027,混合型,2015-12-28,至今,4年又289天,28.82%,55.29%,949|1301
12,,,,,中加纯债债券,000914,债券型,2014-12-17,至今,5年又300天,34.74%,33.88%,206|482
13,,,,,中加纯债分级债券B,000915,分级杠杆,2014-12-17,2016-12-23,2年又7天,37.61%,2.79%,2|26
14,,,,,中加纯债一年A,000552,定开债券,2014-03-24,至今,6年又203天,57.84%,49.94%,13|46
15,,,,,中加纯债一年C,000553,定开债券,2014-03-24,至今,6年又203天,54.03%,49.94%,20|46
16,,,,,中加货币A,000331,货币型,2013-10-21,至今,6年又357天,27.01%,24.73%,24|146
17,,,,,中加货币C,000332,货币型,2013-10-21,至今,6年又357天,29.15%,24.73%,3|146
