,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,陈伟彦,2017-05-02,无,"陈伟彦先生:中国,厦门大学统计学硕士,2007年1月至2010年3月,曾任华泰联合证券有限责任公司研究员等。2010年3月加入华夏基金管理有限公司,曾任研究员、基金经理助理等。2015年11月19日起任华夏回报证券投资基金基金经理,2015年12月14日起任华夏回报二号证券投资基金基金经理。2020年1月6日担任华夏新锦顺灵活配置混合型证券投资基金基金经理。2020年1月6日担任华夏新锦汇灵活配置混合型证券投资基金基金经理。2020年4月17日担任华夏圆和灵活配置混合型证券投资基金基金经理。",华夏圆和混合,003300,混合型,2020-04-17,至今,177天,7.33%,25.86%,2981|3488
1,,,,,华夏新锦顺混合A,004046,混合型,2020-01-06,至今,279天,7.55%,29.32%,2799|3120
2,,,,,华夏新锦顺混合C,004047,混合型,2020-01-06,至今,279天,7.47%,29.32%,2805|3120
3,,,,,华夏新锦汇混合A,004048,混合型,2020-01-06,至今,279天,9.63%,29.32%,2633|3120
4,,,,,华夏新锦汇混合C,004049,混合型,2020-01-06,至今,279天,-0.76%,1.01%,2814|3584
5,,,,,华夏行业龙头混合,005449,混合型,2018-07-24,至今,2年又80天,36.87%,52.96%,1550|2567
6,,,,,华夏红利混合,002011,混合型,2017-08-29,2019-03-21,1年又204天,-9.26%,3.44%,1843|2134
7,,,,,华夏大盘精选混合,000011,混合型,2017-05-02,至今,3年又163天,82.24%,61.53%,538|1971
8,,,,,华夏新活力混合A,002409,混合型,2017-03-07,至今,3年又219天,25.05%,61.51%,1580|1898
9,,,,,华夏新活力混合C,002410,混合型,2017-03-07,至今,3年又219天,22.37%,61.51%,1639|1898
10,,,,,华夏新锦程混合A,002838,混合型,2017-03-07,至今,3年又219天,33.76%,61.51%,1355|1898
11,,,,,华夏新锦程混合C,002839,混合型,2017-03-07,至今,3年又219天,-0.61%,1.01%,2760|3584
12,,,,,华夏智胜价值成长A,002871,股票型,2017-03-07,2018-03-06,364天,-3.28%,8.89%,551|707
13,,,,,华夏智胜价值成长C,002872,股票型,2017-03-07,2018-03-06,364天,36.57%,,-|-
14,,,,,华夏新锦福混合A,002873,混合型,2017-03-07,2017-08-18,164天,35.28%,3.48%,6|2153
15,,,,,华夏新锦福混合C,002874,混合型,2017-03-07,2017-08-18,164天,,,-|-
16,,,,,华夏新锦安混合A,002875,混合型,2017-03-07,2017-08-18,164天,20.22%,3.48%,29|2153
17,,,,,华夏新锦安混合C,002876,混合型,2017-03-07,2017-08-18,164天,,,-|-
18,,,,,华夏新起航混合A,002699,混合型,2016-09-14,2018-07-31,1年又320天,13.48%,4.37%,325|1745
19,,,,,华夏新起航混合C,002700,混合型,2016-09-14,2018-07-31,1年又320天,13.10%,4.37%,334|1745
20,,,,,华夏新锦绣混合A,002833,混合型,2016-09-14,2019-01-31,2年又139天,-12.64%,-4.50%,1128|1661
21,,,,,华夏新锦绣混合C,002834,混合型,2016-09-14,2019-01-31,2年又139天,11.85%,13.92%,857|1788
22,,,,,华夏新锦泰混合A,002835,混合型,2016-09-14,2018-05-28,1年又256天,10.60%,9.01%,650|1779
23,,,,,华夏新锦泰混合C,002836,混合型,2016-09-14,2018-05-28,1年又256天,10.44%,9.01%,659|1779
24,,,,,华夏回报二号混合,002021,混合型,2015-12-14,2017-08-29,1年又259天,16.67%,0.90%,126|1296
25,,,,,华夏回报混合A,002001,混合型,2015-11-19,2017-08-29,1年又284天,16.42%,-0.24%,115|1236
