,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,陈凯杨,2013-10-22,无,"陈凯杨先生:中国,研究生、硕士。2003-2005,深圳发展银行/交易员,2005-2008,博时基金/历任固定收益研究员、特定资产投资经理。现任公司董事总经理兼固定收益总部公募基金组负责人、博时双月薪定期支付债券型证券投资基金、博时安康18个月定期开放债券型证券投资基金(LOF)、博时富益纯债债券型证券投资基金、博时聚瑞纯债6个月定期开放债券型发起式证券投资基金、博时富乐纯债债券型证券投资基金、博时富添纯债债券型证券投资基金、博时富信纯债债券型证券投资基金、博时信用债纯债债券型证券投资基金、博时稳定价值债券投资基金的基金经理。",博时稳定价值债券B,050006,债券型,2020-07-23,至今,80天,1.16%,0.10%,91|2393
1,,,,,博时稳定价值债券A,050106,债券型,2020-07-23,至今,80天,1.25%,0.10%,76|2393
2,,,,,博时信用债纯债债券C,001661,债券型,2020-03-11,至今,214天,-0.57%,1.16%,1759|2102
3,,,,,博时信用债纯债债券A,050027,债券型,2020-03-11,至今,214天,-0.35%,1.16%,1646|2102
4,,,,,博时富信纯债债券,008411,债券型,2020-03-05,至今,220天,0.48%,1.01%,1055|2104
5,,,,,博时富添纯债债券,008170,债券型,2019-11-20,至今,326天,1.29%,4.56%,1753|1926
6,,,,,博时富乐纯债债券,007536,债券型,2019-09-17,至今,1年又25天,2.45%,5.17%,1354|1835
7,,,,,博时裕瑞纯债债券,001578,债券型,2019-03-11,2020-05-13,1年又64天,5.43%,6.99%,1075|1574
8,,,,,博时裕恒纯债债券,001911,债券型,2019-03-11,2020-05-13,1年又64天,6.38%,6.99%,694|1574
9,,,,,博时裕荣纯债债券,001961,债券型,2019-03-11,2020-05-13,1年又64天,6.30%,6.99%,721|1574
10,,,,,博时裕泰纯债债券,001993,债券型,2019-03-11,2020-05-13,1年又64天,7.23%,6.99%,445|1574
11,,,,,博时裕坤3个月定开债,002143,定开债券,2019-03-11,2020-05-13,1年又64天,5.97%,6.89%,405|556
12,,,,,博时裕创纯债,002754,债券型,2019-03-04,2020-05-13,1年又71天,8.55%,7.19%,268|1559
13,,,,,博时裕盛纯债债券,002755,债券型,2019-03-04,2020-05-13,1年又71天,6.58%,7.19%,671|1559
14,,,,,博时富发纯债,003207,债券型,2019-03-04,2020-05-13,1年又71天,7.11%,7.19%,515|1559
15,,,,,博时聚瑞6个月定开债,002781,定开债券,2018-11-22,至今,1年又324天,8.21%,8.07%,188|521
16,,,,,博时富华纯债债券,003730,债券型,2018-09-19,2020-05-13,1年又237天,11.34%,11.65%,446|1299
17,,,,,博时富益纯债债券,003607,债券型,2018-05-09,至今,2年又156天,11.67%,13.28%,563|1183
18,,,,,博时合惠货币A,004841,货币型,2017-06-26,2020-05-13,2年又322天,10.30%,9.27%,50|579
19,,,,,博时合惠货币B,004137,货币型,2017-05-31,2020-05-13,2年又348天,11.34%,9.60%,3|572
20,,,,,博时安康定开债(LOF),501100,定开债券,2017-02-17,至今,3年又237天,22.54%,16.60%,29|266
21,,,,,博时安诚3个月定开债A,003564,定开债券,2016-11-10,2018-05-28,1年又199天,1.50%,1.44%,54|109
22,,,,,博时安诚3个月定开债C,003565,定开债券,2016-11-10,2018-05-28,1年又199天,0.70%,1.44%,67|109
23,,,,,博时裕诚纯债债券,002140,债券型,2016-10-31,2020-05-13,3年又195天,16.97%,13.73%,194|754
24,,,,,博时裕信纯债债券,003381,债券型,2016-10-25,2018-07-14,1年又262天,4.93%,1.26%,147|790
25,,,,,博时安祺6个月定开债A,003239,定开债券,2016-09-29,2018-03-15,1年又167天,-1.30%,0.76%,95|127
26,,,,,博时安祺6个月定开债C,003240,定开债券,2016-09-29,2018-03-15,1年又167天,-2.20%,0.76%,106|127
27,,,,,博时裕泉纯债债券,002578,债券型,2016-09-07,2020-05-13,3年又249天,14.15%,14.08%,365|705
28,,,,,博时裕通定开债C,002812,定开债券,2016-07-15,2017-05-31,320天,0.20%,-0.47%,41|112
29,,,,,博时裕昂纯债债券,002970,债券型,2016-07-15,2020-05-13,3年又303天,16.29%,15.11%,293|688
30,,,,,博时裕顺纯债债券,002811,债券型,2016-06-23,2019-08-19,3年又57天,13.28%,9.98%,196|644
31,,,,,博时裕弘纯债债券,002569,债券型,2016-06-17,2020-05-13,3年又331天,13.69%,16.36%,459|673
32,,,,,博时安源18个月A,002761,定开债券,2016-06-16,2017-12-30,1年又197天,0.40%,2.49%,90|108
33,,,,,博时安源18个月C,002762,定开债券,2016-06-16,2017-12-30,1年又197天,-0.30%,2.49%,97|108
34,,,,,博时裕通定开债A,002716,定开债券,2016-04-29,2017-05-31,1年又32天,1.00%,1.41%,64|107
35,,,,,博时裕景纯债,002519,债券型,2016-04-28,2017-05-08,1年又10天,1.20%,0.81%,321|679
36,,,,,博时安怡6个月,002625,定开债券,2016-04-15,2019-12-16,3年又245天,11.90%,14.41%,113|165
37,,,,,博时裕发纯债,002568,债券型,2016-04-06,2017-05-08,1年又32天,1.10%,-0.37%,219|670
38,,,,,博时裕新纯债,002466,债券型,2016-03-30,2017-05-08,1年又39天,2.26%,-0.17%,120|661
39,,,,,博时安瑞18个月定开债A,002476,定开债券,2016-03-30,2020-05-13,4年又45天,20.01%,18.84%,31|78
40,,,,,博时安瑞18个月定开债C,002477,定开债券,2016-03-30,2020-05-13,4年又45天,17.69%,18.84%,47|78
41,,,,,博时裕安纯债定开债发起式,002447,定开债券,2016-03-04,2017-05-08,1年又65天,1.69%,1.33%,43|92
42,,,,,博时安泰18个月定开债A,002356,定开债券,2016-02-04,2018-03-15,2年又40天,2.41%,4.60%,77|93
43,,,,,博时安泰18个月定开债C,002357,定开债券,2016-02-04,2018-03-15,2年又40天,1.10%,4.60%,84|93
44,,,,,博时裕乾纯债C,002404,债券型,2016-02-01,2017-05-31,1年又120天,2.30%,1.04%,216|642
45,,,,,博时安和18个月定开债A,002266,定开债券,2016-01-26,2017-08-10,1年又197天,2.70%,3.29%,55|87
46,,,,,博时安和18个月定开债C,002267,定开债券,2016-01-26,2017-08-10,1年又197天,2.20%,3.29%,63|87
47,,,,,博时裕腾纯债,002354,债券型,2016-01-18,2017-05-08,1年又111天,1.70%,0.18%,227|633
48,,,,,博时裕乾纯债A,002175,债券型,2016-01-15,2017-05-31,1年又137天,3.80%,0.10%,78|648
