,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,陈黎,2020-05-13,无,"陈黎女士:中国国籍,硕士。2014年从上海财经大学硕士研究生毕业后加入博时基金管理有限公司。历任研究员、高级研究员兼基金经理助理。现任博时安怡6个月定期开放债券型证券投资基金(2018.4.9-至今)兼博时慧选纯债3个月定期开放债券型发起式证券投资基金(2018.8.9-至今)、博时富祥纯债债券型证券投资基金(2018.10.29-至今)、博时裕安纯债债券型证券投资基金(2019.1.16-2020.5.7)、博时富融纯债债券型证券投资基金(2019.1.29-至今)、博时景发纯债债券型证券投资基金(2019.2.25-至今)、博时富源纯债债券型证券投资基金(2019.3.4-至今)、博时裕利纯债债券型证券投资基金(2019.3.4-至今)、博时聚盈纯债债券型证券投资基金(2019.3.4-至今)、博时聚润纯债债券型证券投资基金(2019.3.4-至今)、博时裕丰纯债3个月定期开放债券型发起式证券投资基金(2019.3.11-至今)、博时裕康纯债债券型证券投资基金(2019.3.11-至今)、博时裕达纯债债券型证券投资基金(2019.3.11-至今)、博时富淳纯债3个月定期开放债券型发起式证券投资基金(2019.7.18-至今)的基金经理、博时富汇纯债3个月定期开放债券型发起式证券投资基金、博时富兴纯债3个月定期开放债券型发起式证券投资基金、博时富元纯债债券型证券投资基金的基金经理。2019年10月31日担任博时富顺纯债债券型证券投资基金基金经理。2020年3月5日起担任博时富信纯债债券型证券投资基金基金经理。2020年5月13日起担任博时月月薪定期支付债券型证券投资基金的基金经理。2020年5月13日起担任博时裕弘纯债债券型证券投资基金的基金经理。2020年7月7日担任博时裕景纯债债券型证券投资基金的基金经理。2020年7月7日任职博时裕鹏纯债债券型证券投资基金的基金经理。",博时裕景纯债,002519,债券型,2020-07-07,至今,96天,0.29%,0.33%,981|2352
1,,,,,博时裕鹏纯债债券,004118,债券型,2020-07-07,至今,96天,0.62%,0.33%,507|2352
2,,,,,博时月月薪定期支付债券,000246,定开债券,2020-05-13,至今,151天,0.69%,-0.51%,154|851
3,,,,,博时裕弘纯债债券,002569,债券型,2020-05-13,至今,151天,-1.54%,0.45%,1751|2215
4,,,,,博时富祥纯债债券C,009168,债券型,2020-03-18,至今,207天,0.99%,1.93%,780|2117
5,,,,,博时富信纯债债券,008411,债券型,2020-03-05,至今,220天,0.48%,1.01%,1055|2104
6,,,,,博时富顺纯债债券,007996,债券型,2019-10-31,至今,346天,3.68%,5.16%,740|1902
7,,,,,博时富元纯债债券,004307,债券型,2019-08-19,至今,1年又54天,3.58%,5.60%,790|1781
8,,,,,博时富兴纯债3个月定开债发起式,005820,定开债券,2019-08-19,至今,1年又54天,4.38%,3.85%,161|627
9,,,,,博时富汇3个月定开债发起式,007659,定开债券,2019-08-16,至今,1年又57天,3.43%,3.90%,330|624
10,,,,,博时富淳3个月定开债,007517,定开债券,2019-07-18,至今,1年又86天,4.81%,4.34%,76|236
11,,,,,博时裕丰纯债3个月定开债,002109,定开债券,2019-03-11,至今,1年又215天,4.50%,6.15%,444|551
12,,,,,博时裕达纯债债券,002198,债券型,2019-03-11,至今,1年又215天,5.29%,7.82%,820|1554
13,,,,,博时裕康纯债债券,002206,债券型,2019-03-11,至今,1年又215天,5.44%,7.82%,777|1554
14,,,,,博时裕利纯债债券,002698,债券型,2019-03-04,至今,1年又222天,3.89%,8.03%,1295|1539
15,,,,,博时聚盈纯债债券,002929,债券型,2019-03-04,至今,1年又222天,6.76%,8.03%,554|1539
16,,,,,博时聚润纯债债券,002930,债券型,2019-03-04,至今,1年又222天,3.42%,8.03%,1369|1539
17,,,,,博时富源纯债债券,006714,债券型,2019-03-04,至今,1年又222天,5.47%,8.03%,799|1539
18,,,,,博时景发纯债债券,003023,债券型,2019-02-25,至今,1年又229天,4.61%,8.01%,1012|1527
19,,,,,博时富融纯债债券,006929,债券型,2019-01-29,至今,1年又256天,5.62%,9.81%,839|1483
20,,,,,博时裕安纯债定开债发起式,002447,定开债券,2019-01-16,2020-05-07,1年又112天,7.13%,7.42%,107|191
21,,,,,博时富祥纯债债券A,003258,债券型,2018-10-29,至今,1年又348天,11.06%,12.49%,465|1329
22,,,,,博时慧选纯债定开债,003963,定开债券,2018-08-09,至今,2年又64天,8.17%,9.81%,329|487
23,,,,,博时安怡6个月,002625,定开债券,2018-04-09,至今,2年又186天,9.01%,12.07%,350|431
