,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,魏丽,2018-03-01,无,"魏丽女士:硕士,2007年获得南京财经大学应用数学系学士学位,2010年获得复旦大学统计学硕士学位。2010年9月至2013年7月在融通基金管理有限公司任职交易员、研究员;2013年7月至2017年10月在农银汇理基金管理有限公司任职研究员、基金经理助理、基金经理;2017年10月加入光大保德信基金管理有限公司,2018年3月至今担任光大保德信现金宝货币市场基金的基金经理,2018年5月至今担任光大保德信耀钱包货币市场基金、光大保德信恒利纯债债券型证券投资基金,2018年12月至2020年5月23日担任光大保德信永鑫灵活配置混合型证券投资基金的基金经理,2019年4月至今担任光大保德信永利纯债债券型证券投资基金的基金经理。2019年12月5号担任光大保德信尊泰三年定期开放债券型证券投资基金基金经理。2018年5月30日至2020年2月28日任光大保德信欣鑫灵活配置混合型证券投资基金的基金经理。",光大保德信尊泰定开债,006565,定开债券,2019-12-05,至今,311天,2.44%,2.88%,171|303
1,,,,,光大保德信永利纯债A,003195,债券型,2019-04-02,至今,1年又193天,5.00%,6.94%,839|1583
2,,,,,光大保德信永利纯债C,003196,债券型,2019-04-02,至今,1年又193天,4.50%,6.94%,1002|1583
3,,,,,光大永鑫混合A,003105,混合型,2018-12-25,2020-05-23,1年又150天,7.01%,40.30%,2566|2732
4,,,,,光大永鑫混合C,003106,混合型,2018-12-25,2020-05-23,1年又150天,6.86%,40.30%,2569|2732
5,,,,,光大欣鑫混合A,001903,混合型,2018-05-30,2020-02-28,1年又274天,12.59%,21.23%,1619|2538
6,,,,,光大欣鑫混合C,001904,混合型,2018-05-30,2020-02-28,1年又274天,12.54%,21.23%,1623|2538
7,,,,,光大恒利纯债,002523,债券型,2018-05-26,至今,2年又139天,8.86%,13.51%,917|1193
8,,,,,光大耀钱包货币A,001973,货币型,2018-05-05,至今,2年又160天,6.35%,6.30%,326|637
9,,,,,光大耀钱包货币B,003481,货币型,2018-05-05,至今,2年又160天,6.98%,6.30%,91|637
10,,,,,光大现金宝货币A,000210,货币型,2018-03-01,至今,2年又225天,6.45%,7.10%,534|636
11,,,,,光大现金宝货币B,000211,货币型,2018-03-01,至今,2年又225天,7.12%,7.10%,332|636
12,,,,,农银天天利货币A,001991,货币型,2015-12-21,2017-10-17,1年又301天,5.41%,5.61%,284|390
13,,,,,农银天天利货币B,001992,货币型,2015-12-21,2017-10-17,1年又301天,5.87%,5.61%,141|390
