,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,李仆,2018-11-30,无,"李仆先生:中国国籍,硕士研究生。历任宝钢集团及其下属各金融机构投资部门投资经理、副总经理、固收总监,信诚基金管理有限公司投资研究部基金经理,东方基金管理有限责任公司公司固收总监、投资总监、总经理助理,华润元大基金管理有限公司副总经理。现任华润元大基金管理有限公司总经理、深圳华润元大资产管理有限公司执行董事。2018年8月22日至2020年9月17日担任华润元大稳健收益债券型证券投资基金基金经理。2018年11月30日至2020年9月17日担任华润元大润泰双鑫债券型证券投资基金基金经理。2018年11月30日至2020年9月17日担任华润元大润泽债券型证券投资基金基金经理变更。2018年11月30日至2020年9月17日担任华润元大润鑫债券型证券投资基金基金经理。",华润元大现金收益货币A,000324,货币型,2018-11-30,至今,1年又316天,3.73%,4.37%,586|637
1,,,,,华润元大现金收益货币B,000325,货币型,2018-11-30,至今,1年又316天,4.20%,4.37%,439|637
2,,,,,华润元大现金通货币A,002883,货币型,2018-11-30,至今,1年又316天,4.20%,4.37%,439|637
3,,,,,华润元大现金通货币B,002884,货币型,2018-11-30,至今,1年又316天,4.47%,4.37%,280|637
4,,,,,华润元大润鑫债券A,003418,债券型,2018-11-30,2020-09-17,1年又292天,5.09%,10.91%,1226|1421
5,,,,,华润元大双鑫债券A,003680,债券型,2018-11-30,2020-09-17,1年又292天,17.00%,10.91%,214|1421
6,,,,,华润元大双鑫债券C,003723,债券型,2018-11-30,2020-09-17,1年又292天,16.18%,10.91%,236|1421
7,,,,,华润元大润泽债券A,004893,债券型,2018-11-30,2020-09-17,1年又292天,4.66%,10.91%,1284|1421
8,,,,,华润元大润泽债券C,004894,债券型,2018-11-30,2020-09-17,1年又292天,6.13%,10.91%,952|1421
9,,,,,华润元大润鑫债券C,006471,债券型,2018-11-30,2020-09-17,1年又292天,72.57%,10.91%,3|1421
10,,,,,华润元大信息传媒科技混合,000522,混合型,2018-08-22,至今,2年又51天,116.60%,63.31%,304|2598
11,,,,,华润元大稳健债券A,001212,债券型,2018-08-22,2020-09-17,2年又27天,3.63%,12.70%,1211|1251
12,,,,,华润元大稳健债券C,001213,债券型,2018-08-22,2020-09-17,2年又27天,2.86%,12.70%,1217|1251
13,,,,,东方永兴18个月定开债A,003324,定开债券,2016-11-02,2017-03-24,142天,0.21%,-2.10%,13|135
14,,,,,东方永兴18个月定开债C,003325,定开债券,2016-11-02,2017-03-24,142天,0.05%,-2.10%,18|135
15,,,,,东方臻馨债券A,002896,债券型,2016-06-17,2017-03-24,280天,-2.16%,1.11%,737|775
