,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,鲁邦旺,2016-12-15,无,"鲁邦旺先生:研究生硕士,现任博时裕盈纯债债券型证券投资基金、博时裕瑞纯债债券型证券投资基金、博时裕恒纯债债券型证券投资基金、博时裕泰纯债债券型证券投资基金、博时裕晟纯债债券型证券投资基金、博时裕丰纯债债券型证券投资基金、博时裕荣纯债债券型证券投资基金、博时裕和纯债债券型证券投资基金、博时裕坤纯债债券型证券投资基金、博时裕嘉纯债债券型证券投资基金、博时裕康纯债债券型证券投资基金、博时裕达纯债债券型证券投资基金的基金经理.",博时合利货币A,008191,货币型,2019-12-03,至今,313天,1.61%,1.72%,497|646
1,,,,,博时兴荣货币A,008192,货币型,2019-11-28,至今,318天,1.65%,1.76%,489|644
2,,,,,博时兴盛货币A,008193,货币型,2019-11-28,至今,318天,1.33%,1.76%,622|644
3,,,,,博时外服货币,001308,货币型,2019-02-25,至今,1年又229天,3.89%,3.66%,189|636
4,,,,,博时合利货币B,002960,货币型,2019-02-25,至今,1年又229天,3.46%,3.66%,481|636
5,,,,,博时合鑫货币,003206,货币型,2019-02-25,至今,1年又229天,3.89%,3.66%,189|636
6,,,,,博时兴盛货币B,004060,货币型,2019-02-25,至今,1年又229天,3.20%,3.66%,568|636
7,,,,,博时合晶货币,004985,货币型,2019-02-25,至今,1年又229天,3.43%,3.66%,493|636
8,,,,,博时富业3个月定开债,005462,定开债券,2018-07-02,2019-08-19,1年又48天,6.69%,7.25%,93|155
9,,,,,博时兴荣货币B,004282,货币型,2018-03-19,至今,2年又207天,7.15%,6.89%,255|637
10,,,,,博时安慧18个月定开债A,003675,定开债券,2017-12-29,2018-07-18,201天,2.74%,2.62%,113|185
11,,,,,博时安慧18个月定开债C,003676,定开债券,2017-12-29,2018-07-18,201天,2.37%,2.62%,131|185
12,,,,,博时天天增利货币A,000734,货币型,2017-04-26,至今,3年又169天,9.40%,10.78%,522|559
13,,,,,博时天天增利货币B,000735,货币型,2017-04-26,至今,3年又169天,10.31%,10.78%,402|559
14,,,,,博时保证金货币ETF,511860,货币型,2017-04-26,至今,3年又169天,9.38%,10.78%,524|559
15,,,,,博时岁岁增利一年定开债,000200,定开债券,2016-12-15,至今,3年又301天,17.75%,16.97%,100|254
16,,,,,博时裕嘉纯债3个月定开债,001545,定开债券,2016-12-15,2019-03-11,2年又86天,10.78%,9.81%,50|127
17,,,,,博时裕盈3个月定开债,001546,定开债券,2016-12-15,2019-03-11,2年又86天,11.75%,9.81%,30|127
18,,,,,博时裕瑞纯债债券,001578,债券型,2016-12-15,2019-03-11,2年又86天,15.23%,8.94%,39|845
19,,,,,博时裕恒纯债债券,001911,债券型,2016-12-15,2019-03-11,2年又86天,12.15%,8.94%,162|845
20,,,,,博时裕荣纯债债券,001961,债券型,2016-12-15,2019-03-11,2年又86天,10.49%,8.94%,310|845
21,,,,,博时裕泰纯债债券,001993,债券型,2016-12-15,2019-03-11,2年又86天,11.70%,8.94%,195|845
22,,,,,博时裕晟纯债债券,002008,债券型,2016-12-15,2018-06-23,1年又190天,4.40%,3.05%,396|893
23,,,,,博时裕丰纯债3个月定开债,002109,定开债券,2016-12-15,2019-03-11,2年又86天,11.43%,9.81%,41|127
24,,,,,博时裕坤3个月定开债,002143,定开债券,2016-12-15,2019-03-11,2年又86天,10.34%,9.81%,63|127
25,,,,,博时裕和纯债,002150,债券型,2016-12-15,2017-08-04,232天,0.23%,2.14%,858|951
26,,,,,博时裕达纯债债券,002198,债券型,2016-12-15,2019-03-11,2年又86天,11.64%,8.94%,203|845
27,,,,,博时裕康纯债债券,002206,债券型,2016-12-15,2019-03-11,2年又86天,9.69%,8.94%,397|845
