,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,黄欣,2016-08-19,无,"黄欣先生:伦敦经济学院会计金融专业硕士。于2002年11月加入兴业证券投资部任投资分析员,2003年10月加入国联安基金管理有限公司,历任产品开发部经理助理、总经理特别助理、债券投资助理、基金经理助理,现任量化投资部总监助理。2010年4月起担任国联安双禧中证100指数分级证券投资基金的基金经理,2010年5月起至2012年9月兼任国联安德盛安心成长混合型证券投资基金的基金经理,2010年11月起兼任上证大宗商品股票交易型开放式指数证券投资基金的基金经理,2010年12月起兼任国联安上证大宗商品股票交易型开放式指数证券投资基金联接基金的基金经理,2013年6月起至2017年3月兼任国联安中证股债动态策略指数证券投资基金的基金经理,2016年8月起兼任国联安双力中小板综指证券投资基金(LOF)和国联安中证医药100指数证券投资基金的基金经理。2018年3月至2019年7月兼任国联安添鑫灵活配置混合型证券投资基金的基金经理。2019年5月起兼任国联安中证全指半导体产品与设备交易型开放式指数证券投资基金的基金经理。2019年6月起任国联安中证全指半导体产品与设备交易型开放式指数证券投资基金联接基金基金经理。2019年11月25日担任国联安沪深300交易型开放式指数证券投资基金基金经理。2019年12月25日任国联安沪深300交易型开放式指数证券投资基金联接基金基金经理。",国联安沪深300ETF联接A,008390,联接基金,2019-12-25,至今,291天,21.96%,31.50%,921|1296
1,,,,,国联安沪深300ETF联接C,008391,联接基金,2019-12-25,至今,291天,21.98%,31.50%,920|1296
2,,,,,国联安沪深300ETF,515660,ETF-场内,2019-11-25,至今,321天,27.28%,37.52%,886|1278
3,,,,,国联安中证半导体ETF联接A,007300,联接基金,2019-06-26,至今,1年又108天,98.70%,47.59%,90|1160
4,,,,,国联安中证半导体ETF联接C,007301,联接基金,2019-06-26,至今,1年又108天,97.58%,47.59%,97|1160
5,,,,,国联安中证半导体ETF,512480,ETF-场内,2019-05-08,至今,1年又157天,102.80%,52.05%,101|1125
6,,,,,国联安中证医药100C,006569,股票指数,2018-10-26,至今,1年又351天,87.83%,78.64%,352|993
7,,,,,国联安添鑫灵活配置混合A,001359,混合型,2018-03-12,2019-07-22,1年又132天,-8.43%,-1.71%,1719|2403
8,,,,,国联安添鑫灵活配置混合C,001654,混合型,2018-03-12,2019-07-22,1年又132天,-9.07%,-1.71%,1759|2403
9,,,,,国联安中证医药100A,000059,股票指数,2016-08-19,至今,4年又54天,34.98%,54.65%,362|583
10,,,,,国联安双力中小板综指,162510,股票指数,2016-08-19,至今,4年又54天,0.00%,54.65%,538|583
11,,,,,国联安股债动态,000060,混合型,2013-06-26,2017-03-28,3年又276天,-8.90%,75.07%,564|570
12,,,,,国联安上证商品ETF联接,257060,联接基金,2010-12-01,至今,9年又317天,-32.96%,92.98%,81|81
13,,,,,国联安上证商品ETF,510170,ETF-场内,2010-11-26,至今,9年又322天,-33.99%,92.01%,88|88
14,,,,,国联安安心成长混合,253010,混合型,2010-05-27,2012-09-13,2年又110天,-18.91%,-10.42%,286|348
15,,,,,国联安双禧A中证100指数,150012,固定收益,2010-04-16,至今,10年又181天,73.10%,91.97%,2|2
16,,,,,国联安双禧B中证100指数,150013,分级杠杆,2010-04-16,至今,10年又181天,110.84%,91.97%,1|2
17,,,,,国联安双禧中证100指数,162509,股票指数,2010-04-16,至今,10年又181天,105.59%,81.60%,11|64
