,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,黄海峰,2017-05-31,无,"黄海峰先生:中国国籍,南开大学经济学学士,具有基金从业资格。2004年7月至2010年5月就职于深圳农村商业银行,任资金部投资经理;2010年5月至2012年10月就职于博时基金管理有限公司,任交易部交易员;2012年10月至2013年5月就职于银华基金管理有限公司,任固定收益部基金经理助理;2013年7月加入大成基金管理有限公司固定收益部。2013年10月14日起任大成现金宝场内实时申赎货币市场基金基金经理助理。2013年10月28日起大成景恒保本混合型证券投资基金基金经理助理。2014年3月18日起任大成强化收益债券型证券投资基金基金经理助理。2014年3月18日起任大成货币市场证券投资基金基金经理助理。2014年6月23日起任大成丰财宝货币市场基金(原大成招财宝货币市场基金)基金经理助理。2014年6月26日起任大成景益平稳收益混合型证券投资基金基金经理助理。2014年12月24日起,任大成货币市场证券投资基金基金经理及大成丰财宝货币市场基金基金经理。2015年3月21日起任大成添利宝货币市场基金及大成景兴信用债债券型证券投资基金基金经理。2015年3月27日起任大成景秀灵活配置混合型证券投资基金基金经理。2015年4月29日起任大成景明灵活配置混合型证券投资基金基金经理。2015年5月4日起任大成景穗灵活配置混合型证券投资基金基金经理。2015年5月15日起任大成景源灵活配置混合型证券投资基金基金经理。2016-至今博时基金/历任博时裕通纯债债券基金、博时产业债纯债债券基金、博时盈海纯债债券基金、博时聚瑞纯债债券基金、博时富祥纯债债券基金、博时聚瑞6个月定开债发起式基金的基金经理。现任博时安心收益定期开放债券基金、博时裕安纯债债券基金、博时安盈债券基金、博时安仁一年定开债基金、博时聚利纯债债券基金、博时民丰纯债债券基金、博时裕通3个月定开债发起式基金、博时富兴3个月定开债发起式基金、博时聚源纯债债券基金、博时月月盈短期理财债券型证券投资基金的基金经理。2020年05月22日担任博时信用优选债券型证券投资基金基金经理。2018年3月15日-2020年7月7日担任博时华盈纯债债券型证券投资基金的基金经理。2019年3月4日-2020年7月7日担任博时富和纯债债券型证券投资基金基金经理。2018年2月2日-2020年7月7日担任博时富安3个月定开债发起式基金基金经理。2017年5月8日-2020年7月7日担任博时裕景纯债债券型证券投资基金的基金经理。2018年5月28日-2020年7月7日担任博时广利纯债3个月定期开放债券型发起式证券投资基金的基金经理。2017年5月31日-2020年7月7日担任博时裕乾纯债债券基金基金经理。2017年5月8日-2020年7月7日担任博时裕腾纯债债券基金的基金经理。2017年12月29日至2020年7月7日任职博时裕鹏纯债债券型证券投资基金的基金经理。曾任博时富乾3个月定开债发起式基金基金经理。曾任博时裕新纯债债券型证券投资基金基金经理。曾任博时富丰纯债3个月定期开放债券型发起式证券投资基金基金经理。曾任博时富腾纯债债券基金基金经理。曾任博时裕发纯债债券型证券投资基金基金经理。曾任博时丰庆纯债债券型证券投资基金基金经理。",博时信用优选债券A,009271,债券型,2020-05-22,至今,142天,0.80%,0.84%,606|2308
1,,,,,博时信用优选债券C,009272,债券型,2020-05-22,至今,142天,0.75%,0.84%,617|2308
2,,,,,博时季季享持有期C,007845,债券型,2019-09-05,至今,1年又37天,4.39%,5.16%,569|1808
3,,,,,博时富丰3个月定开债,007513,定开债券,2019-07-08,2020-07-20,1年又13天,4.30%,3.83%,83|324
4,,,,,博时季季享持有期A,000783,债券型,2019-03-04,至今,1年又222天,4.74%,5.01%,516|1825
5,,,,,博时季季享持有期B,000784,债券型,2019-03-04,至今,1年又222天,4.44%,5.01%,556|1825
6,,,,,博时富和纯债债券,004479,债券型,2019-03-04,2020-07-07,1年又126天,4.77%,7.63%,939|1552
7,,,,,博时丰庆纯债债券,004689,债券型,2019-03-04,2020-07-20,1年又139天,4.53%,7.56%,950|1545
8,,,,,博时聚源纯债债券,003188,债券型,2018-11-22,至今,1年又324天,6.71%,11.44%,833|1355
9,,,,,博时广利纯债3个月定开,004334,定开债券,2018-05-28,2020-07-07,2年又41天,11.17%,11.33%,71|136
10,,,,,博时富腾纯债债券,004601,债券型,2018-05-09,2020-07-20,2年又73天,12.29%,12.80%,452|1190
11,,,,,博时盈海纯债债券,004624,债券型,2018-05-09,2018-06-02,24天,-0.48%,-0.40%,970|1305
12,,,,,博时富兴纯债3个月定开债发起式,005820,定开债券,2018-04-12,2019-08-19,1年又129天,9.11%,7.65%,40|172
13,,,,,博时华盈纯债债券,004458,债券型,2018-03-15,2020-07-07,2年又115天,11.21%,13.61%,737|1175
14,,,,,博时富乾3个月定开债,005631,定开债券,2018-02-08,2020-07-07,2年又150天,12.52%,13.35%,80|145
15,,,,,博时富安3个月定开债,005622,定开债券,2018-02-02,2020-07-07,2年又156天,13.07%,13.26%,96|184
16,,,,,博时民丰纯债A,003708,债券型,2017-12-29,2020-07-07,2年又191天,11.91%,14.70%,786|1178
17,,,,,博时民丰纯债C,003709,债券型,2017-12-29,2020-07-07,2年又191天,10.79%,14.70%,898|1178
18,,,,,博时裕鹏纯债债券,004118,债券型,2017-12-29,2020-07-07,2年又191天,12.29%,14.70%,746|1178
19,,,,,博时聚利纯债债券,003259,债券型,2017-11-22,至今,2年又324天,13.66%,14.99%,585|1124
20,,,,,博时富祥纯债债券A,003258,债券型,2017-11-16,2018-11-22,1年又6天,5.65%,3.22%,456|1172
21,,,,,博时聚瑞6个月定开债,002781,定开债券,2017-11-08,2018-11-22,1年又14天,7.10%,4.96%,21|160
22,,,,,博时安仁一年定开发起式债券A,002904,定开债券,2017-11-08,2020-09-09,2年又306天,11.94%,14.00%,120|172
23,,,,,博时安仁一年定开发起式债券C,002905,定开债券,2017-11-08,2020-09-09,2年又306天,10.04%,14.00%,153|172
24,,,,,博时合丰货币A,005195,货币型,2017-09-07,至今,3年又35天,,,-|-
25,,,,,博时合丰货币B,005196,货币型,2017-09-07,至今,3年又35天,,,-|-
26,,,,,博时安荣18个月定开债,001999,定开债券,2017-06-15,2019-01-04,1年又203天,7.04%,7.32%,98|170
27,,,,,博时安盈债券A,000084,债券型,2017-05-31,至今,3年又134天,14.06%,17.88%,700|1040
28,,,,,博时安盈债券C,000085,债券型,2017-05-31,至今,3年又134天,12.70%,17.88%,817|1040
29,,,,,博时产业债纯债债券A,001055,债券型,2017-05-31,2018-03-30,303天,2.41%,3.38%,844|1162
30,,,,,博时产业债纯债债券C,001971,债券型,2017-05-31,2018-03-30,303天,2.25%,3.38%,872|1162
31,,,,,博时裕乾纯债A,002175,债券型,2017-05-31,2020-07-07,3年又38天,13.77%,17.32%,724|1053
32,,,,,博时裕乾纯债C,002404,债券型,2017-05-31,2020-07-07,3年又38天,12.29%,17.32%,836|1053
33,,,,,博时裕通定开债A,002716,定开债券,2017-05-31,至今,3年又134天,12.01%,16.88%,114|129
34,,,,,博时裕通定开债C,002812,定开债券,2017-05-31,至今,3年又134天,12.68%,16.88%,109|129
35,,,,,博时裕腾纯债,002354,债券型,2017-05-08,2020-07-07,3年又61天,19.50%,17.35%,265|1043
36,,,,,博时裕安纯债定开债发起式,002447,定开债券,2017-05-08,2019-01-16,1年又253天,9.83%,8.38%,41|115
37,,,,,博时裕新纯债,002466,债券型,2017-05-08,2020-07-20,3年又74天,14.66%,17.39%,597|1037
38,,,,,博时裕景纯债,002519,债券型,2017-05-08,2020-07-07,3年又61天,14.36%,17.35%,655|1043
39,,,,,博时裕发纯债,002568,债券型,2017-05-08,2020-07-20,3年又74天,11.61%,17.39%,863|1037
40,,,,,博时安心收益定开债A,050028,定开债券,2016-12-28,至今,3年又288天,14.45%,16.52%,170|256
41,,,,,博时安心收益定开债C,050128,定开债券,2016-12-28,至今,3年又288天,12.78%,16.52%,201|256
42,,,,,大成景秀灵活配置混合C,002370,混合型,2016-01-14,2016-08-31,230天,2.30%,6.08%,946|1337
43,,,,,大成景明灵活配置混合C,002371,混合型,2016-01-14,2016-08-31,230天,0.10%,6.08%,1142|1337
44,,,,,大成景穗灵活配置混合C,002372,混合型,2016-01-14,2016-08-31,230天,1.07%,6.08%,1077|1337
45,,,,,大成景源灵活配置混合C,002373,混合型,2016-01-14,2016-08-31,230天,2.33%,6.08%,932|1337
46,,,,,大成景源灵活配置混合A,001295,混合型,2015-05-15,2016-08-31,1年又109天,9.90%,-12.93%,68|930
47,,,,,大成景穗灵活配置混合A,001263,混合型,2015-05-04,2016-08-31,1年又120天,3.50%,-8.77%,237|859
48,,,,,大成景明灵活配置混合A,001262,混合型,2015-04-29,2016-08-31,1年又125天,0.60%,-8.06%,289|852
49,,,,,大成景秀灵活配置混合A,001159,混合型,2015-03-27,2016-08-31,1年又158天,6.70%,1.84%,316|828
