,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,黄海浩,2016-05-25,无,"黄海浩女士:山东大学,学士学位,2007年参加工作,2007年9月至2010年10月在平安利顺货币经纪公司担任交易员,从事美元拆借货币经纪、债券货币经纪交易工作;2010年11月至2014年1月在国投瑞银基金管理有限公司担任交易员,从事债券交易工作;2014年10月加入中信建投基金管理有限公司,担任交易员,从事债券交易工作;2016年5月开始担任中信建投稳信定期开放债券型证券投资基金、中信建投添鑫宝货币市场基金、中信建投凤凰货币市场基金和中信建投货币市场基金的基金经理。",中信建投山西国企债A,005527,定开债券,2018-09-13,至今,2年又29天,13.09%,9.82%,32|195
1,,,,,中信建投山西国企债C,005528,定开债券,2018-09-13,至今,2年又29天,12.17%,9.82%,38|195
2,,,,,中信建投凤凰货币B,004553,货币型,2017-09-01,至今,3年又41天,8.12%,8.96%,535|628
3,,,,,中信建投货币B,004554,货币型,2017-09-01,2020-08-03,2年又337天,7.06%,7.64%,513|622
4,,,,,中信建投稳惠债券A,003976,债券型,2017-03-03,2018-09-19,1年又200天,1.14%,4.06%,864|1064
5,,,,,中信建投稳惠债券C,003977,债券型,2017-03-03,2018-09-19,1年又200天,0.17%,4.06%,900|1064
6,,,,,中信建投稳祥A,003978,债券型,2017-03-03,2018-09-26,1年又207天,7.10%,4.36%,245|1059
7,,,,,中信建投稳祥C,003979,债券型,2017-03-03,2018-09-26,1年又207天,6.70%,4.36%,323|1059
8,,,,,中信建投稳裕定开债A,003573,定开债券,2016-11-07,2018-09-26,1年又323天,5.54%,3.16%,39|131
9,,,,,中信建投景和中短债A,000503,债券型,2016-05-25,至今,4年又140天,12.74%,18.93%,488|621
10,,,,,中信建投景和中短债C,000504,债券型,2016-05-25,至今,4年又140天,10.80%,18.93%,532|621
11,,,,,中信建投货币A,000738,货币型,2016-05-25,2020-08-03,4年又71天,10.88%,13.18%,389|399
12,,,,,中信建投凤凰货币A,001006,货币型,2016-05-25,至今,4年又140天,13.21%,13.60%,264|399
13,,,,,中信建投添鑫宝,002260,货币型,2016-05-25,至今,4年又140天,13.07%,13.60%,280|399
