,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,黄纪亮,2014-06-21,无,"黄纪亮先生:硕士,曾任国泰君安证券股份有限公司助理研究员;2012年11月至2013年2月任富国基金管理有限公司债券研究员;2013年2月起任富国强回报定期开放债券型证券投资基金基金经理,2014年3月起任富国汇利回报两年定期开放债券型证券投资基金(原:富国汇利回报分级债券型证券投资基金)基金经理和富国天利增长债券投资基金基金经理,2014年6月起任富国信用债债券型证券投资基金基金经理,2016年8月起任富国目标齐利一年期纯债债券型证券投资基金基金经理,2016年9月起任富国产业债债券型证券投资基金,2017年8月起任富国祥利一年期定期开放债券型证券投资基金基金经理,2017年9月起任富国兴利增强债券型发起式证券投资基金基金经理,2018年4月起任富国臻利纯债定期开放债券型发起式证券投资基金、富国尊利纯债定期开放债券型发起式证券投资基金、富国鼎利纯债债券型发起式证券投资基金基金经理,2018年8月起任富国颐利纯债债券型证券投资基金基金经理,2018年9月至2019年11月13日任富国金融债债券型证券投资基金基金经理,2019年3月起任富国德利纯债三个月定期开放债券型发起式证券投资基金基金经理;兼任固定收益策略研究部总经理兼固定收益投资部总经理。具有基金从业资格。2016年9月29日至2020年6月11日担任富国睿利定期开放混合型发起式证券投资基金基金经理。",富国投资级信用债债券型A,007616,债券型,2019-09-26,至今,1年又16天,3.91%,5.20%,661|1860
1,,,,,富国投资级信用债债券型C,007617,债券型,2019-09-26,至今,1年又16天,3.59%,5.20%,748|1860
2,,,,,富国投资级信用债债券型D,007618,债券型,2019-09-26,至今,1年又16天,3.64%,5.20%,737|1860
3,,,,,富国产业债券C,007075,债券型,2019-03-08,至今,1年又218天,6.39%,8.00%,609|1595
4,,,,,富国德利纯债定开债,006750,定开债券,2019-03-07,至今,1年又219天,4.19%,5.96%,193|231
5,,,,,富国信用债债券D,006684,债券型,2018-12-05,至今,1年又311天,11.11%,10.98%,401|1376
6,,,,,富国金融债债券型,006134,债券型,2018-09-14,2019-11-13,1年又60天,5.68%,6.96%,692|1352
7,,,,,富国颐利纯债债券,005920,债券型,2018-08-20,至今,2年又53天,6.92%,13.08%,1058|1251
8,,,,,富国鼎利纯债三个月定开债,004736,定开债券,2018-04-27,至今,2年又168天,13.62%,11.79%,109|439
9,,,,,富国尊利纯债定开债,005841,定开债券,2018-04-26,至今,2年又169天,12.76%,11.75%,53|169
10,,,,,富国臻利纯债定开债券,005369,定开债券,2018-04-12,至今,2年又183天,13.47%,12.12%,53|167
11,,,,,富国兴利增强债券,005121,债券型,2017-09-20,2019-08-02,1年又316天,5.35%,7.79%,888|1149
12,,,,,富国祥利一年期定期开放债券型A,000516,定开债券,2017-08-30,至今,3年又43天,20.41%,15.55%,21|133
13,,,,,富国祥利一年期定期开放债券型C,000517,定开债券,2017-08-30,至今,3年又43天,18.92%,15.55%,28|133
14,,,,,富国睿利定开混合发起式,002908,混合型,2016-09-29,2020-06-11,3年又256天,19.70%,38.54%,1169|1627
15,,,,,富国产业债券A,100058,债券型,2016-09-06,至今,4年又36天,18.17%,15.99%,206|693
16,,,,,富国目标齐利一年期纯债债券,000469,定开债券,2016-08-11,至今,4年又62天,16.45%,15.89%,40|84
17,,,,,富国信用债债券A/B,000191,债券型,2014-06-21,至今,6年又114天,39.11%,51.09%,285|445
18,,,,,富国信用债债券C,000192,债券型,2014-06-21,至今,6年又114天,35.46%,51.09%,321|445
19,,,,,富国天利增长债券,100018,债券型,2014-03-26,至今,6年又201天,54.50%,56.46%,196|434
20,,,,,富国汇利回报分级债券A,150020,固定收益,2014-03-26,2017-12-11,3年又261天,15.61%,29.54%,8|10
21,,,,,富国汇利回报分级债券B,150021,分级杠杆,2014-03-26,2017-12-11,3年又261天,60.48%,29.54%,3|10
22,,,,,富国汇利回报两年定期开放债券,161014,定开债券,2014-03-26,至今,6年又201天,56.67%,49.72%,14|42
23,,,,,富国强回报定开债A/B,100072,定开债券,2013-02-26,至今,7年又229天,68.49%,50.60%,1|19
24,,,,,富国强回报定开债C,100073,定开债券,2013-02-26,至今,7年又229天,61.74%,50.60%,4|19
