,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,黎海威,2013-10-29,无,"黎海威先生:经济学硕士,CFA。曾担任美国穆迪KMV公司研究员,美国贝莱德集团(原巴克莱国际投资管理有限公司)基金经理、主动股票部副总裁,香港海通国际资产管理有限公司(海通国际投资管理有限公司)量化总监。2012年8月加入公司,担任量化及ETF投资部投资总监,现担任公司副总经理兼量化及指数投资部总监兼量化及指数投资部基金经理;自2013年10月起担任量化及指数投资部基金经理。曾于2016年6月至2017年7月管理景顺长城大中华混合型证券投资基金,兼任景顺长城沪深300指数增强型证券投资基金、景顺长城量化精选股票型证券投资基金、景顺长城量化新动力股票型证券投资基金、景顺长城沪港深领先科技股票型证券投资基金、景顺长城沪港深精选股票型证券投资基金、景顺长城量化平衡灵活配置混合型证券投资基金、景顺长城量化小盘股票型证券投资基金、景顺长城中证500指数增强型证券投资基金基金经理。2018年9月12日至2020年1月2日担任景顺长城量化先锋混合型证券投资基金基金经理。2020年2月27日担任景顺长城量化对冲策略三个月定期开放灵活配置混合型发起式证券投资基金基金经理。2020年5月25日担任景顺长城创业板综指增强型证券投资基金基金经理。2018年7月10日-2020年7月1日任景顺长城MSCI中国A股国际通指数增强型证券投资基金基金经理。",景顺长城创业板综指增强,008072,股票指数,2020-05-25,至今,139天,28.11%,26.15%,645|1527
1,,,,,景顺长城量化对冲策略三个月定开,008851,混合型,2020-02-27,至今,227天,2.73%,20.99%,2974|3195
2,,,,,景顺长城量化港股通股票,006106,股票型,2019-06-19,至今,1年又115天,-5.42%,51.06%,1122|1152
3,,,,,景顺长城中证500增强,006682,股票指数,2019-03-25,至今,1年又201天,31.71%,44.79%,677|1090
4,,,,,景顺长城量化先锋混合,006201,混合型,2018-09-12,2020-01-02,1年又112天,25.72%,28.08%,1325|2642
5,,,,,景顺长城MSCI中国A股国际通,006063,股票指数,2018-07-10,2020-07-01,1年又357天,34.31%,37.32%,441|944
6,,,,,景顺长城量化小盘股票,005457,股票型,2018-02-06,至今,2年又248天,37.86%,43.58%,390|822
7,,,,,景顺长城量化平衡混合,005258,混合型,2017-12-27,至今,2年又289天,34.45%,48.95%,1303|2246
8,,,,,景顺长城沪港深精选股票,000979,股票型,2017-12-13,2019-05-16,1年又154天,0.53%,-8.64%,118|808
9,,,,,景顺长城沪港深领先科技,004476,股票型,2017-07-07,2019-08-08,2年又32天,11.60%,-2.20%,156|747
10,,,,,景顺长城量化新动力股票,001974,股票型,2016-07-13,至今,4年又91天,112.60%,55.85%,65|569
11,,,,,景顺长城大中华混合,262001,QDII,2016-06-03,2017-07-06,1年又33天,20.88%,15.26%,56|144
12,,,,,景顺长城量化精选股票,000978,股票型,2015-02-04,至今,5年又251天,68.13%,70.83%,121|296
13,,,,,景顺长城沪深300指数增强,000311,股票指数,2013-10-29,至今,6年又349天,206.45%,128.01%,23|214
